"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"Douglas DC-4  (C-54-10-DO)"|"36076"|"5"|"5"|"March 20, 1953"|"942"|"0"|"Alvarado, California"|"Transocean Air Lines"|"30"|"30"|"N88942"|"Roswell - Oakland - Guam"|"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a near vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomic bombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown."|"18:38"|"35"
"de Havilland DH-114 Heron 1B"|"14004"|"?"|"?"|"March 27, 1953"|"?"|"0"|"Itapebi, Brazil"|"Transportes Aéreos Salvador"|"?"|"?"|"PP-SLG"|"?"|"The pilot aborted the takeoff after loosing the No. 2 engine and was unable to stop on the remaining runway. Error of judgment on the part of the pilot in not continuing the takeoff with three engines still operating"|"?"|"14"
"Vickers 616 Viking 1B"|"168"|"5"|"5"|"March 29, 1953"|"?"|"0"|"Mtara, Tanganyika"|"Central African Airways"|"8"|"8"|"VP-YEY"|"Nairobi - Dar-es-Salaam"|"Crashed after a wing failed due to metal fatigue cracks after the aircraft encountered strong winds. A wrong type of grease used when fitting press fit bolts to the booms caused corrosion, thus weakening the lower starboard boom at the outboard bolt hole."|"?"|"13"
"Doublas Dc-3"|"?"|"?"|"?"|"April 10, 1953"|"?"|"?"|"Near Anchieta Island, Brazil"|"REAL"|"?"|"?"|"?"|"?"|"?"|"?"|"?"
"Lockheed 18-56 LodeStar"|"2568"|"3"|"3"|"April 10, 1953"|"?"|"0"|"Off Kingston, Jamaica"|"Caribbean International Airways"|"10"|"10"|"VP-JBC"|"?"|"Lost an engine on takeoff, climbed to 100-200 ft. entering a slight banking turn and crashed into the sea. Failure of the left engine which was due to the cracking of the accessory drive gear. Failure of the pilot to take precautionary steps on hearing the back firing, which was a warning of possible engine failure."|"?"|"13"
"Junkers JU-5/-3m"|"090"|"4"|"4"|"April 10, 1953"|"?"|"0"|"Miandivazo, Madagascar"|"Air France"|"1"|"1"|"F-BALE"|"?"|"The cargo plane crashed on take off."|"?"|"5"
"Douglas DC-3 (C-47-DL)"|"20432"|"3"|"2"|"April 14, 1953"|"?"|"0"|"Selleck, Washington"|"Miami Airlines"|"22"|"5"|"N65743"|"Spokane - Ellenburgh"|"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that  they ultimately failed as a result of master rod bearing failures."|"02:22"|"25"
"Douglas C-47A"|"19149"|"3"|"3"|"April 14, 1953"|"?"|"0"|"Near Guwahati, India"|"Airways"|"0"|"0"|"VT-AUJ"|"Guwahati - Calcutta"|"The cargo plane broke apart in midair and crashed in the Khasi hills. The port wing failed in the air due to an upload as a result of being subjected to loads greater than those for which it was designed."|"?"|"3"
"Douglas DC-3"|"19498"|"3"|"3"|"April 16, 1953"|"?"|"0"|"NW of Hanoi, Vietnam"|"Aigle Azur"|"27"|"27"|"F-BESS"|"Hanoi - Na San"|"Crashed after takeoff due to wing failure."|"?"|"30"
"Douglas DC-6B"|"43823"|"5"|"4"|"April 20, 1953"|"636"|"0"|"San Francisco Bay, California"|"Western Airlines"|"5"|"4"|"N91303"|"Los Angeles - San Francisco - Oakland"|"The aircraft descended below minimum altitude and crashed into the sea. The pilot's action in continuing a descent below the 500 ft. prescribed minimum altitude until the aircraft struck the water. A probable contributing factor to the aircraft striking the water was the sensory illusion experienced by the pilots."|"23:08"|"10"
"de Havilland DH106 Comet 1"|"06008"|"6"|"6"|"May 02, 1953"|"783/057"|"0"|"Near Jalalogori, West Bengal, India"|"British Overseas Airways"|"37"|"37"|"G-ALYV"|"Calcutta - Delhi"|"The aircraft crashed 6 minutes after taking off from Dum Dum Airport. The accident occurred during a violent thunderstorm. Wreckage indicated that the aircraft broke up in the air. Failure of both elevator spars caused by a heavy down-load that may have been associated with a pull-up maneuver. Severe gusts encountered in the thundersquall and overcontrolling or loss of control by the pilots when flying through the thunderstorm. The aircraft was nicknamed ""York Victor."""|"c 16:35"|"43"
"Vickers Valetta T-3"|"506"|"10"|"10"|"May 07, 1953"|"?"|"0"|"Off Hartland Point, England"|"Military - Royal Air Force"|"0"|"0"|"WG258"|"Training"|"Crashed into the sea."|"?"|"10"
"Douglas DC-3"|"13716"|"5"|"5"|"May 09, 1953"|"?"|"0"|"New Delhi, India"|"Air India"|"13"|"13"|"VT-AUD"|"Delh - Ahmedabad - Bombay"|"Stalled following takeoff. An error of judgement by the pilot, who executed a steep starboard turn. He could not come out of the overbanked turn in time because of the low altitude. Inexperience of the pilot with the type of the aircraft which he was flying."|"01:28"|"18"
"Consolidated PBY-5A Catalina"|"21984"|"3"|"1"|"May 11, 1953"|"?"|"0"|"Prince Rupert, BC, Canada"|"Canadian Pacific Air Lines"|"16"|"1"|"CF-CRV"|"Sandpit, BC - Prince Rupert, BC"|"Crashed while attempting to land.  Misuse of controls after the aircraft touched down on the water. The aircraft  bounced several times with the final bounce being so severe the nose section was torn off."|"?"|"19"
"Douglas DC-3"|"2224"|"3"|"3"|"May 17, 1953"|"318"|"0"|"Near Marshall, Texas"|"Delta Air Lines"|"17"|"16"|"N28345"|"Dallas - Shreveport"|"The plane crashed 13 miles east of Marashall Texas, during an approach to Shreveport in a severe thunderstorm. The encountering of conditions in a severe thunderstorm that resulted in loss of effective control of the aircraft and the failure of the captain to adhere to company directives requiring the avoidance of thunderstorms when conditions would allow such action."|"14:15"|"20"
"Douglas DC-3"|"?"|"?"|"?"|"May 24, 1953"|"?"|"?"|"St. Louis, Missouri"|"Meteor Air"|"?"|"?"|"N53596"|"?"|"?"|"?"|"7"
"Convair CV-240-4"|"125"|"6"|"0"|"May 25, 1953"|"?"|"2"|"Amsterdam, Netherlands"|"KLM Royal Dutch Airlines"|"28"|"0"|"PH-TEI"|"Amsterdam - Paris"|"While taking off the plane reached a height of about  50 ft. after which flaps were retracted. The plane began to lose height and crash landed into a meadow. While no one on the plane died, two girls on a bicycle path were killed."|"c 15:30"|"34"
"Li-2 / Li-2T"|"18429005"|"11"|"11"|"May 27, 1953"|"18"|"0"|"Goose Wade, Russia"|"Aeroflot"|"16"|"16"|"L4534"|"Krasnoyarsk - Novosibirsk"|"Midair collision. Crew did not follow the prescribed route. Inadequate preparation for flight. Tweny killed on the Li-2 and seven crew on the Li-2T"|"03:50"|"20"
"Ilyushin IL-2"|"?"|"6"|"6"|"June 14, 1953"|"229"|"0"|"Near  Zugdidi, Georgia"|"Aeroflot"|"12"|"12"|"L1375"|"Krasnodar - Tbilisi"|"Crashed after being struck by lightning. Poor planning by the crew in entering an area of deteriorating weather conditions."|"?"|"18"
"Lockheed 18 Loadstar"|"2617"|"2"|"2"|"June 15, 1953"|"?"|"0"|"Near Reo Copiapo, Chile"|"LAN"|"5"|"5"|"CC-CLD-0100"|"?"|"Crashed. Engine fire."|"?"|"7"
"Douglas DC-3"|"14633/26078"|"3"|"3"|"June 15, 1953"|"?"|"0"|"San Ramon Mtns., Costa Rica"|"LACSA"|"14"|"6"|"TI-1002"|"Palmar Sur - San Isidoro"|"Crashed into the San Ramone mountains while attempting to land in poor weather."|"?"|"17"
"Douglas DC-3"|"19100"|"3"|"3"|"June 16, 1953"|"?"|"0"|"Mount Phou-Lassy, French Indo-China"|"Aigle Azur"|"31"|"31"|"F-BEST"|"Vientiane - Saigon"|"Crashed after on-board fire.  Possibly shot down."|"?"|"34"
"Lockheed 049-46-21 Constellation"|"2066"|"7"|"7"|"June 17, 1953"|"?"|"0"|"Sao Paulo, Brazil"|"Panair do Brasil"|"10"|"10"|"PP-PDA"|"London - Bueno Aires"|"Crashed while on final approach to Sao Paulo. Error of judgement by the crew during poor visibility at night."|"?"|"17"
"Douglas C-124A Globemaster II"|"43471"|"7"|"7"|"June 18, 1953"|"?"|"0"|"Tachikawa AFB, Tokyo, Japan"|"Military - U.S. Air Force"|"122"|"122"|"51-137A"|"Tachikawa AB - Kimpo AB"|"Crashed shortly after taking off from Tachikawa Air Base. Engine failure during takeoff. A premature application of full flaps during the three engine approach resultied in loss of air speed and aircraft control. The plane crashed into a field of watermelons. First aviation disaster to claim more than 100 lives."|"16:34"|"129"
"Douglas DC-6A"|"42901/153"|"8"|"8"|"July 12, 1953"|"512"|"0"|"Pacific Ocean, 325 miles east of Wake Island"|"Transocean Air Lines"|"50"|"50"|"N90806"|"Wake Island - Honolulu - Oakland"|"Lost at sea while en route from Wake Island to Honolulu, Hawaii, approximately 325 miles east of Wake Island. Cause not determined, but there was thunderstorms and turbulence in the area. Fourteen bodies and all life rafts were recovered. The plywood panel from the navigator's table was recovered with the words ""falling in"" written on it. There is some speculation that a bomb caused the accident. The aircraft was named ""The Royal Hawaiian."""|"c 08:41"|"58"
"Fairchild R4Q-2"|"10830"|"6"|"5"|"July 17, 1953"|"?"|"0"|"Near Milton, Florida"|"Military - U.S. Navy"|"40"|"39"|"131663"|"Whitting NAS - Norfolk NB"|"The co-pilot failed to maintain a sufficient rate of climb after becoming airborne, struck obstacles and crashed into a wooded area."|"23:15"|"46"
"Ilyushin IL-12"|"?"|"6"|"6"|"July 27, 1953"|"?"|"0"|"Near Kanggye, North Korea"|"Aeroflot"|"15"|"15"|"?"|"?"|"Shot down by a U.S. Air Force F-86 jet fighter towards the end of the Korean War. The Russian government claimed the plane was over Chinese air space."|"12:30"|"21"
"Lockheed L- 749A Constellation"|"2628"|"8"|"0"|"August 03, 1953"|"?"|"0"|"Off Fethiye Point, Turkey"|"Air France"|"34"|"4"|"F-BAZS"|"Rome - Beirut"|"The No. 3 engine broke away from the aircraft following severe vibrations causing loss of control of the No. 4 engine and necessitating a ditching 1.5 miles from the coast. Failure in flight of a propeller blade. Four passengers drowned."|"02:28"|"42"
"Douglas DC-3"|"9143"|"4"|"0"|"August 03, 1953"|"?"|"0"|"Sharjah, United Arab Emirates"|"Orient Airways"|"21"|"1"|"AP-AAD"|"Karachi - Jeddah"|"Shortly after taking off, the aircraft entered a turn and crashed to the ground. The failure of the captain to supervise the first officer in flying the plane who was not able to fly on instruments in the dark."|"22:37"|"25"
" Convair B-36"|"?"|"?"|"?"|"August 05, 1953"|"?"|"0"|"Off Irish coast"|"Military - U.S. Air Force"|"?"|"?"|"?"|"?"|"Crashed into the Atlantic Ocean after two of it’s engines caught fire, 500 miles off the Irish coast."|"?"|"23"
"Curtiss C-46A"|"26403"|"2"|"2"|"August 18, 1953"|"?"|"0"|"Near San Diego, California"|"Aerovias Contreras"|"0"|"0"|"XA-GOT"|"?"|"The cargo plane flew into a mountain."|"?"|"2"
"Lockheed 749A Constellation"|"2674"|"9"|"9"|"September 01, 1953"|"?"|"0"|"Near Barcelonnette, France"|"Air France"|"33"|"33"|"F-BAZZ"|"Paris - Nice - Hong Kong"|"While on approach to land at Nice-Cote d' Azur Airport the aircraft crashed into Mt. Cemet in the French Alps. French violinist Jacques Tribaud, 72, among those killed. Navigational error. Pilot deviated from the prescribled route for reasons unknown."|"?"|"42"
"Douglas DC-3"|"6333"|"2"|"2"|"September 01, 1953"|"?"|"0"|"Vail, Washington"|"Regina Cargo Airlines"|"19"|"19"|"N19941"|"Monterey, CA - Tacoma, WA"|"Crashed on the fringe of the Cascade mountains, 26 nm short of McChord AFB. The pilot's attempt to continue flight under the provisions of VFR during IFR conditions."|"18:42"|"21"
"Douglas C-47A"|"13817/25262"|"3"|"3"|"September 08, 1953"|"?"|"0"|"San Andres, Honduras"|"TACA"|"0"|"0"|"XH-TAR"|"San Pedro - San Andres"|"After a missed approach the No. 2 engine of the cargo plane failed. Failure of the right engine when the pilot wished to obtain maximum power from both engines after a missed landing."|"13:16"|"3"
"Douglas C-47A"|"13113"|"2"|"1"|"September 14, 1953"|"?"|"0"|"Chablekal, Mexico"|"Transportes Aéreos Mexicanos"|"0"|"0"|"XA-GIC"|"Campeche - Mérida"|"The cargo plane struck a tower in fog while attempting to land."|"?"|"2"
"Convair CV-240-0"|"116"|"3"|"3"|"September 16, 1953"|"723"|"0"|"Albany, New York"|"American Airlines"|"25"|"25"|"N94255"|"Boston - Hartford - Albany - Chicago"|"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog and crashed into radio towers. Crew's failure to abandon the landing under adverse weather conditions."|"08:34"|"28"
"Douglas DC-3"|"9694"|"5"|"4"|"September 25, 1953"|"?"|"0"|"Ankara, Turkey"|"Devlet Hava Yollari"|"16"|"1"|"TC-EGE"|"Ankara - Van"|"Crashed to the ground after an engine fire."|"?"|"21"
"Curtiss C-46F-1-CU"|"22384"|"3"|"3"|"September 28, 1953"|"?"|"0"|"Louisville, Kentucky"|"Resort Airlines"|"38"|"22"|"N66534"|"Philadelphia - Louisville"|"While the plane was attempting to land it entered a steep climb, stalled and crashed. The structural failure of the left elevator in flight, causing loss of control. This structural failure was brought about by the left outboard hinge bolt backing out of the assembly. The underlying cause was improper maintenance which resulted in the installation of hinge bolts and bearings not meeting specifications, and inadequate inspection which failed to detect this condition."|"16:18"|"41"
"Convair CV-240-12"|"154"|"4"|"4"|"October 14, 1953"|"?"|"0"|"Frankfurt, Germany"|"Sabena"|"40"|"40"|"OO-AWQ"|"Frankfurt - Brussels"|"Crashed while attempting to take off. Loss of engine power on takeoff. The loss of power may possibly be attributed to the heavy deposit of lead on the spark plugs."|"?"|"44"
"Douglas C-47B"|"25591"|"7"|"2"|"October 17, 1953"|"?"|"0"|"Lai Chau, Vietnam"|"Compagnie Sila"|"0"|"0"|"F-VNAE"|"?"|"Cargo plane."|"?"|"7"
"Lockheed 749A Constellation"|"2616"|"5"|"0"|"October 19, 1953"|"627"|"0"|"New York City, New York"|"Eastern Air Lines"|"22"|"2"|"N119A"|"New York City - San Juan"|"The aircraft crashed a few seconds after becoming airborne. The captain's loss of visual reference and orientation when he encountered drifting fog shortly after becoming airborne on take-off and the resultant inadvertent assumption of a descending flight path."|"00:56"|"27"
"Douglas C-46A-CU ( DC-3)"|"26403"|"3"|"3"|"October 19, 1953"|"?"|"0"|"Near Monterrey, Mexico"|"Aerovias Contreras"|"18"|"18"|"XA-GOT"|"Monterrey - Falcon Dam"|"Crashed into a ravine while carring reporters and officials to the inauguration of Falcon Dam."|"13:00Z"|"21"
"Ilyushin IL-12"|"93013102"|"5"|"5"|"October 27, 1953"|"783"|"?"|"Near Magadan, Russia"|"Aeroflot"|"27"|"17"|"L1765"|"Magadan - Okhotsk"|"Crashed after taking off. Icing."|"11:18"|"32"
"Douglas DC-6"|"43125/131"|"8"|"8"|"October 29, 1953"|"304/44"|"0"|"Near Half Moon Bay, California"|"British Commonwealth Pacific Airlines"|"11"|"11"|"VH-BPE"|"Sydney - Honolulu - San Francisco"|"While flying in fog on an approach to San Francisco International Airport, the aircraft crashed into a redwood forest on a mountain ridge, 7.5 miles southeast of Half Moon Bay. The plane struck the ridge of King's Mountain and broke up, scattering wreckage over a half-mile area.  Failure of the crew to follow prescribed procedures for an instrument approach. American pianist, William Kapell, 31, killed."|"08:44"|"19"
"Li-2"|"18432509"|"5"|"5"|"October 31, 1953"|"270"|"0"|"Kharkov. Ukraine, Russia"|"Aeroflot"|"11"|"10"|"L4732"|"?"|"The plane stalled while taking off due to improperly set controls."|"00:30"|"16"
"Douglas DC-3"|"2181"|"3"|"3"|"November 03, 1953"|"?"|"0"|"Tarabuco, Bolivia"|"Lloyd Aereo Boliviano"|"25"|"25"|"CP-600"|"Camiri - Sucre"|"Crashed into the Rodeo Pampa mountains during an approach to Sucre, 18 miles from its destination."|"?"|"28"
"Avro Shackleton MR-2"|"?"|"10"|"10"|"November 11, 1953"|"?"|"0"|"Off Argyll, Scotland"|"Military - Royal Air Force"|"0"|"0"|"WL746"|"Training"|"Crashed in the Atlantic during a training exercise."|"17:30"|"10"
"Bristol 170 Freighter 21"|"12797"|"5"|"1"|"December 04, 1953"|"?"|"0"|"Near Guaderrama, Spain"|"Aviaco"|"28"|"22"|"EC-AEG"|"Bilbao - Madrid"|"Crashed into Mt. Somosierra in poor weather conditions."|"?"|"33"
"Douglas DC-3"|"11810"|"4"|"3"|"December 12, 1953"|"?"|"0"|"Nagpur, India"|"Indian Airlines"|"10"|"10"|"VT-CHF"|"New Delhi - Nagpur - Madras"|"Shortly after taking off , the aircraft experienced loss of control in too steep a turn. Loss of critical height during a steep left hand turn, with the landing gear down, executed by the pilot at an unsafe altitude in an attempt to return to the aerodrome, after experiencing a temporary loss of power of the left engine soon after becoming airborne. A false right engine fire warning precipitated the attempt at a forced landing."|"?"|"14"
"VC-Viking"|"?"|"?"|"?"|"December 15, 1953"|"?"|"?"|"Near Cairo, Egypt"|"Misair"|"?"|"?"|"SU-AFK"|"?"|"Crashed on takeoff."|"?"|"6"
"Curtiss C-46D"|"33589"|"2"|"2"|"December 15, 1953"|"?"|"0"|"	Tecpan Mt., Guatemala"|"Aviateca"|"0"|"0"|"TG-AQA"|"Brownsville, TX - Guatemala City"|"The cargo plane with a load of citrus fruit flew into a 8,000 ft. mountain."|"?"|"2"
